Name_x,Name_y,Games,Event
"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",Marian Emma Barone (Twining-),1948 Summer,Gymnastics Women's Team All-Around
"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)","Consetta Anne ""Connie"" Caruccio-Lenz",1948 Summer,Gymnastics Women's Team All-Around
"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",Dorothy Katherine Dalton,1948 Summer,Gymnastics Women's Team All-Around
"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",Meta Elste (Neumann-),1948 Summer,Gymnastics Women's Team All-Around
"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",Helen Mary Schifano (-Sjursen),1948 Summer,Gymnastics Women's Team All-Around
"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",Clara Marie Schroth-Lomady,1948 Summer,Gymnastics Women's Team All-Around
"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",Anita Aline Simonis (-Zetts),1948 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",1948 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),"Consetta Anne ""Connie"" Caruccio-Lenz",1948 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Dorothy Katherine Dalton,1948 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Meta Elste (Neumann-),1948 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Helen Mary Schifano (-Sjursen),1948 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Clara Marie Schroth-Lomady,1948 Summer,Gymnastics Women's Team All-Around
Marian Emma Barone (Twining-),Anita Aline Simonis (-Zetts),1948 Summer,Gymnastics Women's Team All-Around
"Consetta Anne ""Connie"" Caruccio-Lenz","Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",1948 Summer,Gymnastics Women's Team All-Around
"Consetta Anne ""Connie"" Caruccio-Lenz",Marian Emma Barone (Twining-),1948 Summer,Gymnastics Women's Team All-Around
"Consetta Anne ""Connie"" Caruccio-Lenz",Dorothy Katherine Dalton,1948 Summer,Gymnastics Women's Team All-Around
"Consetta Anne ""Connie"" Caruccio-Lenz",Meta Elste (Neumann-),1948 Summer,Gymnastics Women's Team All-Around
"Consetta Anne ""Connie"" Caruccio-Lenz",Helen Mary Schifano (-Sjursen),1948 Summer,Gymnastics Women's Team All-Around
"Consetta Anne ""Connie"" Caruccio-Lenz",Clara Marie Schroth-Lomady,1948 Summer,Gymnastics Women's Team All-Around
"Consetta Anne ""Connie"" Caruccio-Lenz",Anita Aline Simonis (-Zetts),1948 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",1948 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Marian Emma Barone (Twining-),1948 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,"Consetta Anne ""Connie"" Caruccio-Lenz",1948 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Meta Elste (Neumann-),1948 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Helen Mary Schifano (-Sjursen),1948 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Clara Marie Schroth-Lomady,1948 Summer,Gymnastics Women's Team All-Around
Dorothy Katherine Dalton,Anita Aline Simonis (-Zetts),1948 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",1948 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Marian Emma Barone (Twining-),1948 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),"Consetta Anne ""Connie"" Caruccio-Lenz",1948 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Dorothy Katherine Dalton,1948 Summer,Gymnastics Women's Team All-Around
Meta Elste (Neumann-),Helen Mary Schifano (-Sjursen),1948 Summer,Gymnastics Women's Team All-Around
