CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
0,126,Reputation,14082,25,4235,0,3320,74,88
0,126,Reputation,14082,5,4235,0,3320,94,88
1,126,Reputation,14082,7,4235,0,3320,99,88
3,126,Reputation,14082,6,4235,0,3320,119,88
0,126,Reputation,14082,7,4235,0,3320,140,88
2,126,Reputation,14082,5,4235,0,3320,143,88
1,126,Reputation,14082,8,4235,0,3320,255,88
0,126,Reputation,14082,14,4235,0,3320,265,88
0,126,Reputation,14082,5,4235,0,3320,275,88
1,126,Reputation,14082,2,4235,0,3320,309,88
4,126,Reputation,14082,1,4235,0,3320,337,88
0,126,Reputation,14082,2,4235,435,3320,341,88
0,126,Reputation,14082,3,4235,0,3320,343,88
2,126,Reputation,14082,3,4235,0,3320,344,88
4,126,Reputation,14082,6,4235,0,3320,358,88
2,126,Reputation,14082,4,4235,0,3320,360,88
0,126,Reputation,14082,3,4235,0,3320,380,88
3,126,Reputation,14082,109,4235,0,3320,424,88
1,126,Reputation,14082,84,4235,0,3320,435,88
3,126,Reputation,14082,6,4235,0,3320,450,88
0,126,Reputation,14082,8,4235,0,3320,462,88
4,126,Reputation,14082,3,4235,0,3320,464,88
2,126,Reputation,14082,14,4235,0,3320,483,88
2,126,Reputation,14082,6,4235,0,3320,494,88
7,126,Reputation,14082,3,4235,0,3320,501,88
0,126,Reputation,14082,5,4235,0,3320,505,88
1,126,Reputation,14082,3,4235,0,3320,518,88
0,126,Reputation,14082,7,4235,466,3320,526,88
0,126,Reputation,14082,8,4235,0,3320,547,88
0,126,Reputation,14082,5,4235,0,3320,559,88
1,126,Reputation,14082,2,4235,0,3320,565,88
2,126,Reputation,14082,0,4235,0,3320,574,88
11,126,Reputation,14082,6,4235,0,3320,579,88
2,126,Reputation,14082,3,4235,247,3320,602,88
1,126,Reputation,14082,1,4235,0,3320,605,88
3,126,Reputation,14082,2,4235,0,3320,615,88
0,126,Reputation,14082,3,4235,0,3320,621,88
0,126,Reputation,14082,22,4235,4341,3320,631,88
4,126,Reputation,14082,1,4235,0,3320,636,88
0,126,Reputation,14082,5,4235,0,3320,654,88
13,126,Reputation,14082,14,4235,0,3320,658,88
2,126,Reputation,14082,6,4235,0,3320,667,88
4,126,Reputation,14082,3,4235,0,3320,733,88
3,126,Reputation,14082,2,4235,0,3320,734,88
2,126,Reputation,14082,3,4235,0,3320,759,88
0,126,Reputation,14082,0,4235,0,3320,771,88
0,126,Reputation,14082,4,4235,0,3320,792,88
