,Area,No. of Attacks
0,Florida,887
1,California,250
2,Hawaii,250
3,South Carolina,118
4,North Carolina,87
5,Texas,65
6,New Jersey,38
7,Oregon,27
8,New York,23
9,Virginia,18
10,Alabama,12
11,Georgia,12
12,Puerto Rico,10
13,Louisiana,9
14,Massachusetts,9
15,Delaware,7
16,Maryland,6
17,Mississippi,5
18,US Virgin Islands,5
19,Rhode Island,5
20,Connecticut,4
21,New York ,3
22,North Carolina ,2
23,Maine,1
24,Pennsylvania,1
25,Guam,1
26,Illinois,1
27,Florida ,1
28,South Carolina ,1
29,New Mexico,1
30,Alaska,1
31,Missouri,1
32,Wake Island,1
33,Washington,1
