,Country,No. of Attacks
0,USA,1863
1,AUSTRALIA,1015
2,SOUTH AFRICA,468
3,NEW ZEALAND,100
4,PAPUA NEW GUINEA,88
5,BRAZIL,76
6,BAHAMAS,63
7,MEXICO,57
8,ITALY,43
9,REUNION,35
10,MOZAMBIQUE,35
11,CUBA,33
12,FIJI,31
13,NEW CALEDONIA,28
14,PHILIPPINES,26
15,SPAIN,26
16,INDIA,22
17,EGYPT,21
18,FRENCH POLYNESIA,20
19,PANAMA,19
20,CROATIA,19
21,SOLOMON ISLANDS,13
22,JAMAICA,12
23,ENGLAND,12
24,GREECE,12
25,INDONESIA,12
26,JAPAN,12
27,IRAN,11
28,VANUATU,10
29,SRI LANKA,10
30,IRAQ,10
31,TONGA,10
32,VIETNAM,8
33,MARSHALL ISLANDS,8
34,CANADA,8
35,KENYA,8
36,BERMUDA,7
37,UNITED KINGDOM,7
38,HONG KONG,6
39,NEW BRITAIN,6
40,TAIWAN,6
41,ECUADOR,6
42,COSTA RICA,6
43,SENEGAL,5
44,SAUDI ARABIA,5
45,COLUMBIA,5
46,VENEZUELA,5
47,CHILE,5
48,LIBYA,5
49,PALAU,4
50,PACIFIC OCEAN,4
51,OKINAWA,4
52,NEW GUINEA,4
53,CHINA,4
54,ISRAEL,4
55,RUSSIA,4
56,SCOTLAND,4
57,GRENADA,4
58,SIERRA LEONE,4
59,FRANCE,4
60,SOUTH KOREA,4
61,TURKEY,4
62,TURKS & CAICOS,3
63,SEYCHELLES,3
64,NORTH PACIFIC OCEAN,3
65,NIGERIA,3
66,SOMALIA,3
67,NICARAGUA,3
68,THAILAND,3
69,SOUTH ATLANTIC OCEAN,3
70, TONGA,3
71,YEMEN ,3
72,DOMINICAN REPUBLIC,3
73,MICRONESIA,3
74,BARBADOS,3
75,AMERICAN SAMOA,3
76,MALTA,3
77,MALAYSIA,3
78,MONTENEGRO,3
79,SAMOA,2
80,GUAM,2
81,EGYPT ,2
82,TRINIDAD & TOBAGO,2
83,SUDAN,2
84,BURMA,2
85,PORTUGAL,2
86,UNITED ARAB EMIRATES (UAE),2
87,URUGUAY,2
88,HAITI,2
89,EL SALVADOR,2
90,HONDURAS,2
91,MADAGASCAR,2
92,LIBERIA,2
93,CAYMAN ISLANDS,1
94,TASMAN SEA,1
95,CAPE VERDE,1
96,THE BALKANS,1
97,NORWAY,1
98,NORTH SEA,1
99,BRITISH WEST INDIES,1
100,BRITISH NEW GUINEA,1
101,UNITED ARAB EMIRATES,1
102,NICARAGUA ,1
103,BRITISH ISLES,1
104,MAURITIUS,1
105,BELIZE,1
106,MEXICO ,1
107,ARGENTINA,1
108,ANTIGUA,1
109,WESTERN SAMOA,1
110,YEMEN,1
111,TANZANIA,1
112,Sierra Leone,1
113,PERSIAN GULF,1
114,Fiji,1
115,GUYANA,1
116,KIRIBATI,1
117,SAN DOMINGO,1
118,GUINEA,1
119,KOREA,1
120,GRAND CAYMAN,1
121,GABON,1
122,FEDERATED STATES OF MICRONESIA,1
123,Seychelles,1
124,LEBANON,1
125,EGYPT / ISRAEL,1
126,PACIFIC OCEAN ,1
127,CYPRUS,1
128,CEYLON (SRI LANKA),1
129,ST. MAARTIN,1
130,SUDAN?,1
131,NAMIBIA,1
