appearance.eye-color,appearance.gender,appearance.hair-color,appearance.height,appearance.race,appearance.weight,biography.aliases,biography.alignment,biography.alter-egos,biography.first-appearance,biography.full-name,biography.place-of-birth,biography.publisher,connections.group-affiliation,connections.relatives,id,image.url,name,powerstats.combat,powerstats.durability,powerstats.intelligence,powerstats.power,powerstats.speed,powerstats.strength,response,work.base,work.occupation
Yellow,Male,No Hair,"[""6'8"", '203 cm']",Human,"['980 lb', '441 kg']",['Rick Jones'],good,No alter egos found.,"Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Richard Milhouse Jones,"Scarsdale, Arizona",Marvel Comics,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",1,https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg,A-Bomb,64,80,38,24,17,100,success,-,"Musician, adventurer, author; formerly talk show host"
Blue,Male,No Hair,"[""6'3"", '191 cm']",Icthyo Sapien,"['145 lb', '65 kg']","['Langdon Everett Caul', 'Abraham Sapien', 'Langdon Caul']",good,No alter egos found.,Hellboy: Seed of Destruction (1993),Abraham Sapien,-,Dark Horse Comics,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",2,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg,Abe Sapien,85,65,88,100,35,28,success,-,Paranormal Investigator
Blue,Male,No Hair,"[""6'1"", '185 cm']",Ungaran,"['200 lb', '90 kg']",['Lagzia'],good,No alter egos found.,"Showcase #22 (October, 1959)",,Ungara,DC Comics,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",3,https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg,Abin Sur,65,64,50,99,53,90,success,Oa,"Green Lantern, former history professor"
Green,Male,No Hair,"[""6'8"", '203 cm']",Human / Radiation,"['980 lb', '441 kg']","['Agent R-7', 'Ravager of Worlds']",bad,No alter egos found.,Tales to Astonish #90,Emil Blonsky,"Zagreb, Yugoslavia",Marvel Comics,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",4,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg,Abomination,95,90,63,62,53,80,success,Mobile,Ex-Spy
Blue,Male,Black,"['-', '0 cm']",Cosmic Entity,"['- lb', '0 kg']",['-'],bad,No alter egos found.,Fantastic Four Annual #2001,Abraxas,Within Eternity,Marvel Comics,Cosmic Beings,"Eternity (""Father"")",5,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg,Abraxas,55,100,88,100,83,63,success,-,Dimensional destroyer
Blue,Male,No Hair,"[""6'4"", '193 cm']",Human,"['270 lb', '122 kg']","['Greithoth', '""Crusher"" Creel', 'Rocky Davis', 'Dynamite Davis', 'Lightningbolt', 'Prisoner #24957']",bad,No alter egos found.,"Daredevil #1 (April, 1964) (As Rocky Davis)",Carl Creel,"New York City, New York",Marvel Comics,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",6,https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg,Absorbing Man,64,100,38,98,25,80,success,-,Professional criminal; former professional boxer
Blue,Male,Blond,"['-', '0 cm']",null,"['- lb', '0 kg']","['Takezo Kensei', 'Richard Sanders']",good,No alter egos found.,Heroes S02E01 - Four Months Later...,,-,NBC - Heroes,-,-,7,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg,Adam Monroe,64,100,63,100,12,10,success,"U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada","former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army"
Blue,Male,Blond,"[""6'1"", '185 cm']",Human,"['195 lb', '88 kg']","['Warrior of Two Worlds', 'Savior of Rann']",good,No alter egos found.,"Outsiders #6 (April, 1986)",Adam Strange,"Chicago, Illinois",DC Comics,"Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",8,https://www.superherodb.com/pictures2/portraits/10/100/626.jpg,Adam Strange,50,40,69,37,33,10,success,"Rann, Alpha Centauri System","Adventurer, archaelogist, ambassador"
Blue,Female,Blond,"[""5'8"", '173 cm']",null,"['135 lb', '61 kg']",['-'],good,Sharon Carter,Tales of Suspense #75,Sharon Carter,-,Sharon Carter,Agent of SHIELD.; former member of the Femme Force,"Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",9,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg,Agent 13,null,null,null,null,null,46,success,"S.H.I.E.L.D. Headquarters, New York City",Agent of SHIELD
Brown,Male,Brown,"[""5'10"", '178 cm']",Human,"['181 lb', '81 kg']","['Bob', 'agent of Hydra', 'Bob', 'agent of A.I.M']",good,No alter egos found.,"Cable & Deadpool #38 (May, 2007)",Bob,-,Marvel Comics,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg,Agent Bob,20,5,10,5,13,8,success,"Mobile; formerly Manhattan, Hellcarrier","Mercenary, janitor; former pirate, terrorist"
