,roll,value
0,0,1
1,1,2
2,2,6
3,3,1
4,4,6
5,5,5
6,6,2
7,7,2
8,8,4
9,9,1
10,10,5
11,11,6
12,12,5
13,13,4
14,14,5
15,15,4
16,16,4
17,17,6
18,18,2
19,19,4
20,20,4
21,21,6
22,22,3
23,23,6
24,24,6
25,25,4
26,26,1
27,27,4
28,28,4
29,29,2
30,30,6
31,31,5
32,32,5
33,33,2
34,34,3
35,35,6
36,36,6
37,37,2
38,38,3
39,39,6
40,40,6
41,41,2
42,42,5
43,43,3
44,44,4
45,45,6
46,46,2
47,47,1
48,48,4
49,49,2
50,50,3
51,51,2
52,52,2
53,53,4
54,54,6
55,55,2
56,56,1
57,57,3
58,58,2
59,59,4
60,60,4
61,61,3
62,62,4
63,63,1
64,64,3
65,65,6
66,66,3
67,67,4
68,68,4
69,69,4
70,70,2
71,71,2
72,72,5
73,73,1
74,74,5
75,75,6
76,76,2
77,77,4
78,78,6
79,79,5
80,80,6
81,81,4
82,82,1
83,83,3
84,84,3
85,85,3
86,86,5
87,87,6
88,88,5
89,89,1
90,90,6
91,91,3
92,92,6
93,93,4
94,94,1
95,95,4
96,96,6
97,97,1
98,98,3
99,99,6
