,roll,value
0,0,5
1,1,6
2,2,1
3,3,6
4,4,5
5,5,2
6,6,6
7,7,5
8,8,6
9,9,6
10,10,4
11,11,3
12,12,5
13,13,6
14,14,1
15,15,3
16,16,1
17,17,1
18,18,1
19,19,1
20,20,6
21,21,2
22,22,3
23,23,4
24,24,6
25,25,5
26,26,3
27,27,2
28,28,4
29,29,1
30,30,3
31,31,4
32,32,3
33,33,3
34,34,6
35,35,2
36,36,1
37,37,2
38,38,6
39,39,4
40,40,1
41,41,4
42,42,6
43,43,1
44,44,6
45,45,3
46,46,6
47,47,4
48,48,5
49,49,1
50,50,4
51,51,4
52,52,4
53,53,6
54,54,2
55,55,6
56,56,4
57,57,6
58,58,6
59,59,2
60,60,4
61,61,1
62,62,4
63,63,3
64,64,1
65,65,4
66,66,1
67,67,2
68,68,3
69,69,3
70,70,1
71,71,6
72,72,1
73,73,6
74,74,5
75,75,2
76,76,6
77,77,5
78,78,4
79,79,6
80,80,5
81,81,1
82,82,4
83,83,4
84,84,4
85,85,4
86,86,6
87,87,2
88,88,4
89,89,5
90,90,4
91,91,3
92,92,4
93,93,3
94,94,2
95,95,5
96,96,1
97,97,6
98,98,6
99,99,1
100,100,1
101,101,3
102,102,3
103,103,2
104,104,1
105,105,3
106,106,6
107,107,2
108,108,1
109,109,4
110,110,1
111,111,2
112,112,2
113,113,4
114,114,1
115,115,2
116,116,2
117,117,4
118,118,4
119,119,1
120,120,4
121,121,5
122,122,3
123,123,2
124,124,5
125,125,5
126,126,1
127,127,4
128,128,3
129,129,6
130,130,5
131,131,1
132,132,5
133,133,1
134,134,1
135,135,2
136,136,6
137,137,6
138,138,5
139,139,5
140,140,1
141,141,5
142,142,1
143,143,1
144,144,6
145,145,6
146,146,6
147,147,6
148,148,5
149,149,1
150,150,4
151,151,6
152,152,5
153,153,4
154,154,1
155,155,4
156,156,5
157,157,5
158,158,1
159,159,2
160,160,6
161,161,5
162,162,2
163,163,3
164,164,1
165,165,2
166,166,1
167,167,6
168,168,4
169,169,5
170,170,6
171,171,4
172,172,3
173,173,1
174,174,1
175,175,5
176,176,2
177,177,5
178,178,2
179,179,3
180,180,3
181,181,4
182,182,6
183,183,3
184,184,2
185,185,4
186,186,4
187,187,3
188,188,6
189,189,2
190,190,4
191,191,2
192,192,1
193,193,4
194,194,2
195,195,3
196,196,2
197,197,1
198,198,6
199,199,4
200,200,1
201,201,5
202,202,4
203,203,3
204,204,6
205,205,3
206,206,3
207,207,6
208,208,3
209,209,2
210,210,6
211,211,2
212,212,4
213,213,1
214,214,1
215,215,2
216,216,5
217,217,5
218,218,3
219,219,5
220,220,2
221,221,1
222,222,1
223,223,2
224,224,5
225,225,4
226,226,6
227,227,5
228,228,5
229,229,5
230,230,3
231,231,2
232,232,2
233,233,5
234,234,2
235,235,3
236,236,4
237,237,2
238,238,6
239,239,2
240,240,6
241,241,3
242,242,6
243,243,5
244,244,3
245,245,2
246,246,4
247,247,6
248,248,3
249,249,6
250,250,4
251,251,5
252,252,3
253,253,5
254,254,1
255,255,2
256,256,6
257,257,1
258,258,4
259,259,4
260,260,1
261,261,1
262,262,3
263,263,3
264,264,1
265,265,3
266,266,3
267,267,4
268,268,1
269,269,2
270,270,3
271,271,3
272,272,3
273,273,1
274,274,6
275,275,6
276,276,3
277,277,3
278,278,4
279,279,4
280,280,6
281,281,5
282,282,3
283,283,6
284,284,4
285,285,3
286,286,6
287,287,6
288,288,1
289,289,5
290,290,2
291,291,1
292,292,3
293,293,6
294,294,6
295,295,6
296,296,1
297,297,3
298,298,6
299,299,5
300,300,2
301,301,2
302,302,3
303,303,4
304,304,6
305,305,4
306,306,5
307,307,5
308,308,6
309,309,6
310,310,4
311,311,4
312,312,6
313,313,2
314,314,5
315,315,5
316,316,5
317,317,5
318,318,6
319,319,1
320,320,3
321,321,3
322,322,6
323,323,6
324,324,1
325,325,6
326,326,6
327,327,4
328,328,3
329,329,4
330,330,5
331,331,6
332,332,4
333,333,1
334,334,2
335,335,3
336,336,4
337,337,3
338,338,2
339,339,3
340,340,4
341,341,3
342,342,6
343,343,3
344,344,2
345,345,6
346,346,3
347,347,3
348,348,6
349,349,2
350,350,3
351,351,1
352,352,4
353,353,2
354,354,2
355,355,6
356,356,3
357,357,2
358,358,5
359,359,4
360,360,6
361,361,2
362,362,3
363,363,3
364,364,6
365,365,5
366,366,1
367,367,3
368,368,2
369,369,5
370,370,6
371,371,6
372,372,2
373,373,3
374,374,6
375,375,2
376,376,2
377,377,3
378,378,2
379,379,1
380,380,2
381,381,1
382,382,2
383,383,3
384,384,4
385,385,2
386,386,6
387,387,4
388,388,6
389,389,3
390,390,5
391,391,1
392,392,5
393,393,2
394,394,5
395,395,3
396,396,2
397,397,2
398,398,1
399,399,4
400,400,2
401,401,2
402,402,1
403,403,5
404,404,3
405,405,2
406,406,5
407,407,6
408,408,5
409,409,5
410,410,5
411,411,4
412,412,4
413,413,1
414,414,4
415,415,4
416,416,1
417,417,2
418,418,4
419,419,5
420,420,3
421,421,6
422,422,3
423,423,1
424,424,5
425,425,1
426,426,1
427,427,5
428,428,3
