objectid,Reporter,ComName,SciName,OccStatus,ObsDate,DateAcc,DateEnt,DateUp,Location,Latitude,Longitude,Datum,CoordAcc,Method,DataType,LocalOwner,Habitat,Locality,Site,InfestAcre,GrossAcre,Abundance,Density,NumCollect,Percentcov,TreatArea,TreatComm,Quantity,QuantityU,TrapType,NumTraps,Comments,VisitType,CollectTme,Surveyor,RecSource,RecOwner,RecSrcTyp,OrigName,Nativity,Host,Host_Name,VerifyMthd,IDCred,Verified,Reviewer,ReviewDate,OrgSrcID,PID,Voucher,Museum,MuseumRec,Reference,,,,
8303498,Travis Mangione FWC,Burmese python,Python molurus ssp. bivittatus,Positive,24-Nov-19,,26-Nov-19,,"Miami-Dade, Florida, United States",25.76191,-80.74829,WGS84     ,,,,,,"Man found and killed the python just before the store"" at mile marker 35.""",,,,,,,,,,,,,,Hunter found and killed python just outside of Big Cypress. Brought it to Monroe Station hunter check station to be measured. Took specimen home with him.,,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,5-Dec-19,,,0,,,,,,,
8303147,Edward F. Metzger III ,Burmese python,Python molurus ssp. bivittatus,Positive,20-Nov-19,,22-Nov-19,22-Nov-19,"Broward, Florida, United States",26.29298,-80.50567,WGS84     ,0,Google Maps GPS,,,,,,,,,,,,,,,,,,Yearling roadkill ,,5,,,Unknown,Android,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,5-Dec-19,,,,,,,,,,
8298008,Michael Reupert NPS  Big Cypress National Preserve,Burmese python,Python molurus ssp. bivittatus,Positive,7-Nov-19,,12-Nov-19,,"Collier, Florida, United States",25.86434,-81.10691,WGS84     ,,,,,Edge: Roadside                                    ,Hy 41 south in BICY,,,,,,,,,,,,,,Dispatch ed by BICY Python agents,,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,14-Nov-19,,,0,HQ freezer                                                                                                                                                                                                                                                     ,,,,,,
8295649,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,6-Nov-19,,7-Nov-19,,"Collier, Florida, United States",25.83131,-80.90326,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"collected by T Hobbs, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,8-Nov-19,,,0,,,,,,,
8295647,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,5-Nov-19,,7-Nov-19,,"Collier, Florida, United States",25.87197,-81.18223,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"female, collected by P Hobbs, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,8-Nov-19,,,0,,,,,,,
8295635,Jeffrey Fobb Miami-Dade Fire Rescue,Burmese python,Python molurus ssp. bivittatus,Positive,7-Nov-19,,7-Nov-19,7-Nov-19,"Miami-Dade, Florida, United States",25.82564,-80.35441,WGS84     ,4,Smartphone GPS,,,,,,,,,,,,,,,,,,"Picked up at 1522 SE 31 Ct., Homestead, FL. Alarm #9239503. Reported at 21:25. ",,5,,,Unknown,iPhone,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,8-Nov-19,,,,,,,,,,
8295629,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,5-Nov-19,,7-Nov-19,,"Collier, Florida, United States",25.9016,-81.29282,WGS84     ,,,,,,"Big Cypress National Preserve, on US41",,,,,,,,,,,,,,"Collected by M Bowser, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,8-Nov-19,,,0,,,,,,,
8295159,Joshua Sands ,Burmese python,Python molurus ssp. bivittatus,Positive,4-Nov-19,,4-Nov-19,4-Nov-19,"Monroe, Florida, United States",25.22318,-80.43027,WGS84     ,,,,,Edge: Roadside                                    ,,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Photographs,Verified,Verified,FWCC Exotic Species Database,4-Nov-19,,,0,,,,,,,
8295155,Matthew Bowser ,Burmese python,Python molurus ssp. bivittatus,Positive,31-Oct-19,,4-Nov-19,,"Collier, Florida, United States",25.84801,-80.94631,WGS84     ,,,,,Edge: Roadside                                    ,,,,,,,,,,,,,,,,,,,,Unknown,Web Report,,Introduced,,,Reporter Expertise,Credible,Verified,FWCC Exotic Species Database,4-Nov-19,,,0,,,,,,,
8294947,"matthew mccollister National Park Service, Big Cypress National Park",Burmese python,Python molurus ssp. bivittatus,Positive,31-Oct-19,,1-Nov-19,,"Collier, Florida, United States",25.87345,-81.19749,WGS84     ,,,,,,Big Cypress National Preserve,,,,,,,,,,,,,,"Collected by M Bowser, euthanized by NPS",,,,,Unknown,Web Report,,Introduced,,,Verifier Expertise,Credible,Verified,FWCC Exotic Species Database,4-Nov-19,,,0,,,,,,,
