Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,0.92
2,316,104,3,3,3.5,8,1,0.72
3,322,110,3,3.5,2.5,8.67,1,0.8
4,314,103,2,2,3,8.21,0,0.65
5,330,115,5,4.5,3,9.34,1,0.9
6,321,109,3,3,4,8.2,1,0.75
7,308,101,2,3,4,7.9,0,0.68
8,302,102,1,2,1.5,8,0,0.5
9,323,108,3,3.5,3,8.6,0,0.45
10,327,111,4,4,4.5,9,1,0.84
11,328,112,4,4,4.5,9.1,1,0.78
12,307,109,3,4,3,8,1,0.62
13,311,104,3,3.5,2,8.2,1,0.61
14,314,105,3,3.5,2.5,8.3,0,0.54
15,317,107,3,4,3,8.7,0,0.66
16,319,106,3,4,3,8,1,0.65
17,318,110,3,4,3,8.8,0,0.63
18,303,102,3,3.5,3,8.5,0,0.62
19,325,114,4,3,2,8.4,0,0.7
20,328,116,5,5,5,9.5,1,0.94
21,334,119,5,5,4.5,9.7,1,0.95
22,336,119,5,4,3.5,9.8,1,0.97
23,322,109,5,4.5,3.5,8.8,0,0.76
24,298,98,2,1.5,2.5,7.5,1,0.44
25,295,93,1,2,2,7.2,0,0.46
26,310,99,2,1.5,2,7.3,0,0.54
27,300,97,2,3,3,8.1,1,0.65
28,327,103,3,4,4,8.3,1,0.74
29,338,118,4,3,4.5,9.4,1,0.91
30,340,114,5,4,4,9.6,1,0.9
31,331,112,5,4,5,9.8,1,0.94
32,320,110,5,5,5,9.2,1,0.88
33,299,106,2,4,4,8.4,0,0.64
34,300,105,1,1,2,7.8,0,0.58
35,304,105,1,3,1.5,7.5,0,0.52
36,307,108,2,4,3.5,7.7,0,0.48
37,308,110,3,3.5,3,8,1,0.46
38,316,105,2,2.5,2.5,8.2,1,0.49
39,313,107,2,2.5,2,8.5,1,0.53
40,332,117,4,4.5,4,9.1,0,0.87
41,326,113,5,4.5,4,9.4,1,0.91
42,322,110,5,5,4,9.1,1,0.88
43,329,114,5,4,5,9.3,1,0.86
44,339,119,5,4.5,4,9.7,0,0.89
45,321,110,3,3.5,5,8.85,1,0.82
46,327,111,4,3,4,8.4,1,0.78
47,313,98,3,2.5,4.5,8.3,1,0.76
48,312,100,2,1.5,3.5,7.9,1,0.56
49,334,116,4,4,3,8,1,0.78
50,324,112,4,4,2.5,8.1,1,0.72
51,322,110,3,3,3.5,8,0,0.7
52,320,103,3,3,3,7.7,0,0.64
53,316,102,3,2,3,7.4,0,0.64
54,298,99,2,4,2,7.6,0,0.46
55,300,99,1,3,2,6.8,1,0.36
56,311,104,2,2,2,8.3,0,0.42
57,309,100,2,3,3,8.1,0,0.48
58,307,101,3,4,3,8.2,0,0.47
59,304,105,2,3,3,8.2,1,0.54
60,315,107,2,4,3,8.5,1,0.56
61,325,111,3,3,3.5,8.7,0,0.52
62,325,112,4,3.5,3.5,8.92,0,0.55
63,327,114,3,3,3,9.02,0,0.61
64,316,107,2,3.5,3.5,8.64,1,0.57
65,318,109,3,3.5,4,9.22,1,0.68
66,328,115,4,4.5,4,9.16,1,0.78
67,332,118,5,5,5,9.64,1,0.94
68,336,112,5,5,5,9.76,1,0.96
69,321,111,5,5,5,9.45,1,0.93
70,314,108,4,4.5,4,9.04,1,0.84
71,314,106,3,3,5,8.9,0,0.74
72,329,114,2,2,4,8.56,1,0.72
73,327,112,3,3,3,8.72,1,0.74
74,301,99,2,3,2,8.22,0,0.64
75,296,95,2,3,2,7.54,1,0.44
76,294,93,1,1.5,2,7.36,0,0.46
77,312,105,3,2,3,8.02,1,0.5
78,340,120,4,5,5,9.5,1,0.96
79,320,110,5,5,4.5,9.22,1,0.92
80,322,115,5,4,4.5,9.36,1,0.92
81,340,115,5,4.5,4.5,9.45,1,0.94
82,319,103,4,4.5,3.5,8.66,0,0.76
83,315,106,3,4.5,3.5,8.42,0,0.72
84,317,107,2,3.5,3,8.28,0,0.66
85,314,108,3,4.5,3.5,8.14,0,0.64
86,318,106,2,4,4,7.92,1,0.64
87,299,97,3,5,3.5,7.66,0,0.38
88,298,98,2,4,3,8.03,0,0.34
89,301,97,2,3,3,7.88,1,0.44
90,303,99,3,2,2.5,7.66,0,0.36
91,304,100,4,1.5,2.5,7.84,0,0.42
92,306,100,2,3,3,8,0,0.48
93,331,120,3,4,4,8.96,1,0.86
94,332,119,4,5,4.5,9.24,1,0.9
95,323,113,3,4,4,8.88,1,0.79
96,322,107,3,3.5,3.5,8.46,1,0.71
97,312,105,2,2.5,3,8.12,0,0.64
98,314,106,2,4,3.5,8.25,0,0.62
99,317,104,2,4.5,4,8.47,0,0.57
100,326,112,3,3.5,3,9.05,1,0.74
101,316,110,3,4,4.5,8.78,1,0.69
102,329,111,4,4.5,4.5,9.18,1,0.87
103,338,117,4,3.5,4.5,9.46,1,0.91
104,331,116,5,5,5,9.38,1,0.93
105,304,103,5,5,4,8.64,0,0.68
106,305,108,5,3,3,8.48,0,0.61
107,321,109,4,4,4,8.68,1,0.69
108,301,107,3,3.5,3.5,8.34,1,0.62
109,320,110,2,4,3.5,8.56,0,0.72
110,311,105,3,3.5,3,8.45,1,0.59
111,310,106,4,4.5,4.5,9.04,1,0.66
112,299,102,3,4,3.5,8.62,0,0.56
113,290,104,4,2,2.5,7.46,0,0.45
114,296,99,2,3,3.5,7.28,0,0.47
115,327,104,5,3,3.5,8.84,1,0.71
116,335,117,5,5,5,9.56,1,0.94
117,334,119,5,4.5,4.5,9.48,1,0.94
118,310,106,4,1.5,2.5,8.36,0,0.57
119,308,108,3,3.5,3.5,8.22,0,0.61
120,301,106,4,2.5,3,8.47,0,0.57
121,300,100,3,2,3,8.66,1,0.64
122,323,113,3,4,3,9.32,1,0.85
123,319,112,3,2.5,2,8.71,1,0.78
124,326,112,3,3.5,3,9.1,1,0.84
125,333,118,5,5,5,9.35,1,0.92
126,339,114,5,4,4.5,9.76,1,0.96
127,303,105,5,5,4.5,8.65,0,0.77
