Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2015-05-08,1934,905,0.65,0,1.355,46,0,0,1680,384,26,23,417,0.40389115,Friday,4.0,1,6.4,92.0863309353,0.0,0.0,May,5
2015-05-09,3631,18925,14.11,4,611.0,316,61,60,2248,454,35,21,491,8.76754481,Saturday,5.0,0,7.56666666667,92.4643584521,6.4,92.0863309353,May,5
2015-05-10,3204,14228,10.57,1,602.0,226,14,77,1719,387,46,25,436,6.56789147,Sunday,6.0,0,6.45,88.7614678899,7.56666666667,92.4643584521,May,5
2015-05-11,2673,6756,5.02,8,749.0,190,23,4,9620,311,31,21,350,3.11928242,Monday,0.0,1,5.18333333333,88.8571428571,6.45,88.7614678899,May,5
2015-05-12,2495,502,3.73,1,876.0,171,0,0,7360,407,65,44,491,2.31771383,Tuesday,1.0,1,6.78333333333,82.8920570265,5.18333333333,88.8571428571,May,5
2015-05-13,276,779,5.79,15,726.0,172,34,18,1094,405,47,31,457,3.59773809,Wednesday,2.0,1,6.75,88.6214442013,6.78333333333,82.8920570265,May,5
2015-05-14,2687,5614,4.17,2,782.0,216,13,1,9830,381,28,12,415,2.59111707,Thursday,3.0,1,6.35,91.8072289157,6.75,88.6214442013,May,5
2015-05-15,2793,8169,6.07,14,801.0,218,8,7,1092,269,34,16,306,3.77172197,Friday,4.0,1,4.48333333333,87.908496732,6.35,91.8072289157,May,5
2015-05-16,4061,19971,14.84,18,532.0,247,101,118,27,452,26,18,507,9.22114564,Saturday,5.0,0,7.53333333333,89.1518737673,4.48333333333,87.908496732,May,5
2015-05-17,3349,852,6.33,12,606.0,186,46,73,1766,269,17,11,291,3.93327843,Sunday,6.0,0,4.48333333333,92.439862543,7.53333333333,89.1518737673,May,5
2015-05-18,2961,11998,8.91,20,936.0,189,18,51,1371,167,9,8,180,5.53641561,Monday,0.0,1,2.78333333333,92.7777777778,4.48333333333,92.439862543,May,5
2015-05-19,2911,12425,9.23,14,827.0,186,18,54,1351,368,50,27,420,5.73525433,Tuesday,1.0,1,6.13333333333,87.619047619,2.78333333333,92.7777777778,May,5
2015-05-20,2569,6008,4.46,8,783.0,214,15,2,9390,386,30,22,420,2.77131466,Wednesday,2.0,1,6.43333333333,91.9047619048,6.13333333333,87.619047619,May,5
2015-05-21,3228,16291,12.1,18,616.0,237,48,52,1766,351,46,26,399,7.5185891,Thursday,3.0,1,5.85,87.969924812,6.43333333333,91.9047619048,May,5
2015-05-22,2529,6111,4.54,8,820.0,190,14,5,8820,314,32,26,353,2.82102434,Friday,4.0,1,5.23333333333,88.9518413598,5.85,87.969924812,May,5
2015-05-23,4197,17928,13.32,17,533.0,262,79,132,288,432,35,24,469,8.27666172,Saturday,5.0,0,7.2,92.1108742004,5.23333333333,88.9518413598,May,5
2015-05-24,3899,13893,10.32,6,641.0,222,33,140,2502,224,24,19,270,6.41254872,Sunday,6.0,0,3.73333333333,82.962962963,7.2,92.1108742004,May,5
2015-05-25,2519,5109,3.8,8,861.0,200,0,0,8470,0,0,0,0,2.3612098,Monday,0.0,1,0.0,0.0,3.73333333333,82.962962963,May,5
2015-05-26,2357,443,3.29,6,1.269,156,0,0,6440,389,39,28,430,2.04431059,Tuesday,1.0,1,6.48333333333,90.4651162791,0.0,0.0,May,5
2015-05-27,3209,7498,5.57,18,692.0,196,64,50,1676,381,24,17,412,3.46103647,Wednesday,2.0,1,6.35,92.4757281553,6.48333333333,90.4651162791,May,5
2015-05-28,2811,849,6.31,14,771.0,212,8,13,1148,417,66,32,486,3.92085101,Thursday,3.0,1,6.95,85.8024691358,6.35,92.4757281553,May,5
2015-05-29,2558,565,4.2,8,789.0,208,0,0,8900,464,35,26,503,2.6097582,Friday,4.0,1,7.73333333333,92.2465208748,6.95,85.8024691358,May,5
2015-05-30,417,21479,15.98,16,503.0,230,55,153,2794,328,53,25,382,9.92950858,Saturday,5.0,0,5.46666666667,85.8638743455,7.73333333333,92.2465208748,May,5
2015-05-31,3533,18995,14.11,12,660.0,269,86,43,2092,426,54,33,495,8.76754481,Sunday,6.0,0,7.1,86.0606060606,5.46666666667,85.8638743455,May,5
2015-06-01,3354,16836,12.51,8,586.0,248,35,70,1862,430,41,26,484,7.77335121,Monday,0.0,1,7.16666666667,88.8429752066,7.1,86.0606060606,June,6
2015-06-02,3369,15944,11.85,29,640.0,214,15,93,1827,376,46,34,436,7.36324635,Tuesday,1.0,1,6.26666666667,86.2385321101,7.16666666667,88.8429752066,June,6
2015-06-03,3168,14273,10.6,11,721.0,178,16,89,1592,312,44,29,369,6.5865326,Wednesday,2.0,1,5.2,84.5528455285,6.26666666667,86.2385321101,June,6
2015-06-04,347,1606,11.93,11,724.0,239,38,70,1939,388,21,15,415,7.41295603,Thursday,3.0,1,6.46666666667,93.4939759036,5.2,84.5528455285,June,6
2015-06-05,3134,13594,10.1,16,677.0,215,36,52,1583,409,56,34,468,6.2758471,Friday,4.0,1,6.81666666667,87.3931623932,6.46666666667,93.4939759036,June,6
2015-06-06,3436,1548,11.5,11,520.0,246,78,42,1927,426,54,27,495,7.1457665,Saturday,5.0,0,7.1,86.0606060606,6.81666666667,87.3931623932,June,6
2015-06-07,3634,1944,14.48,8,966.0,210,28,130,2155,430,41,19,484,8.99745208,Sunday,6.0,0,7.16666666667,88.8429752066,7.1,86.0606060606,June,6
2015-06-08,3267,13926,10.35,21,701.0,265,63,29,1785,376,46,30,436,6.43118985,Monday,0.0,1,6.26666666667,86.2385321101,7.16666666667,88.8429752066,June,6
2015-06-09,3072,11338,8.42,28,806.0,228,43,31,1494,312,44,25,369,5.23194382,Tuesday,1.0,1,5.2,84.5528455285,6.26666666667,86.2385321101,June,6
2015-06-10,275,714,5.31,12,785.0,220,20,4,1081,388,21,14,415,3.29948001,Wednesday,2.0,1,6.46666666667,93.4939759036,5.2,84.5528455285,June,6
2015-06-11,3187,15449,11.48,22,676.0,205,39,64,1676,409,56,30,468,7.13333908,Thursday,3.0,1,6.81666666667,87.3931623932,6.46666666667,93.4939759036,June,6
2015-06-12,3207,1192,8.86,11,593.0,352,34,11,1777,54,18,3,87,5.50534706,Friday,4.0,1,0.9,62.0689655172,6.81666666667,87.3931623932,June,6
2015-06-13,4083,26444,19.65,22,549.0,429,56,56,2818,347,45,21,401,12.20994015,Saturday,5.0,0,5.78333333333,86.5336658354,0.9,62.0689655172,June,6
2015-06-14,2789,12335,9.16,35,1.245,88,10,93,1209,290,33,14,332,5.69175836,Sunday,6.0,0,4.83333333333,87.3493975904,5.78333333333,86.5336658354,June,6
2015-06-15,3234,14137,10.5,11,642.0,305,8,51,1756,379,24,14,411,6.5243955,Monday,0.0,1,6.31666666667,92.2141119221,4.83333333333,87.3493975904,June,6
