id,track_name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,prime_genre
281656475,PAC-MAN Premium,100788224,3.99,21292,26,4,4.5,Games
281796108,Evernote - stay organized,158578688,0,161065,26,4,3.5,Productivity
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,0,188583,2822,3.5,4.5,Weather
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,0,262241,649,4,4.5,Shopping
282935706,Bible,92774400,0,985920,5320,4.5,5,Reference
283619399,Shanghai Mahjong,10485713,0.99,8253,5516,4,4,Games
283646709,PayPal - Send and request money safely,227795968,0,119487,879,4,4.5,Finance
284035177,Pandora - Music & Radio,130242560,0,1126879,3594,4,4.5,Music
284666222,PCalc - The Best Calculator,49250304,9.99,1117,4,4.5,5,Utilities
284736660,Ms. PAC-MAN,70023168,3.99,7885,40,4,4,Games
284791396,Solitaire by MobilityWare,49618944,4.99,76720,4017,4.5,4.5,Games
284815117,SCRABBLE Premium,227547136,7.99,105776,166,3.5,2.5,Games
284815942,Google – Search made just for mobile,179979264,0,479440,203,3.5,4,Utilities
284847138,Bank of America - Mobile Banking,160925696,0,119773,2336,3.5,4.5,Finance
284862767,FreeCell,55153664,4.99,6340,668,4.5,4.5,Games
284876795,TripAdvisor Hotels Flights Restaurants,207907840,0,56194,87,4,3.5,Travel
284882215,Facebook,389879808,0,2974676,212,3.5,3.5,Social Networking
284910350,"Yelp - Nearby Restaurants, Shopping & Services",167407616,0,223885,3726,4,4.5,Travel
284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,0,402925,136,4,4.5,Music
285005463,Crash Bandicoot Nitro Kart 3D,10735026,2.99,31456,4178,4,3.5,Games
285946052,iQuran,70707916,1.99,2929,966,4.5,4.5,Reference
285994151,:) Sudoku +,6169600,2.99,11447,781,5,5,Games
286058814,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,0,137951,131,4,4.5,Sports
286070473,Mileage Log | Fahrtenbuch,71203840,5.99,8,0,4.5,0,Business
286799607,Cleartune - Chromatic Tuner,11423008,3.99,3241,297,4,4,Music
