Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes
08-05-2015,1934,905,0.65,0,1.355,46,0,0,1680,384,26,23,417
09-05-2015,3631,18925,14.11,4,611.0,316,61,60,2248,454,35,21,491
10-05-2015,3204,14228,10.57,1,602.0,226,14,77,1719,387,46,25,436
11-05-2015,2673,6756,5.02,8,749.0,190,23,4,9620,311,31,21,350
12-05-2015,2495,502,3.73,1,876.0,171,0,0,7360,407,65,44,491
13-05-2015,276,779,5.79,15,726.0,172,34,18,1094,405,47,31,457
14-05-2015,2687,5614,4.17,2,782.0,216,13,1,9830,381,28,12,415
15-05-2015,2793,8169,6.07,14,801.0,218,8,7,1092,269,34,16,306
16-05-2015,4061,19971,14.84,18,532.0,247,101,118,27,452,26,18,507
17-05-2015,3349,852,6.33,12,606.0,186,46,73,1766,269,17,11,291
18-05-2015,2961,11998,8.91,20,936.0,189,18,51,1371,167,9,8,180
19-05-2015,2911,12425,9.23,14,827.0,186,18,54,1351,368,50,27,420
20-05-2015,2569,6008,4.46,8,783.0,214,15,2,9390,386,30,22,420
21-05-2015,3228,16291,12.1,18,616.0,237,48,52,1766,351,46,26,399
22-05-2015,2529,6111,4.54,8,820.0,190,14,5,8820,314,32,26,353
23-05-2015,4197,17928,13.32,17,533.0,262,79,132,288,432,35,24,469
24-05-2015,3899,13893,10.32,6,641.0,222,33,140,2502,224,24,19,270
25-05-2015,2519,5109,3.8,8,861.0,200,0,0,8470,0,0,0,0
26-05-2015,2357,443,3.29,6,1.269,156,0,0,6440,389,39,28,430
27-05-2015,3209,7498,5.57,18,692.0,196,64,50,1676,381,24,17,412
28-05-2015,2811,849,6.31,14,771.0,212,8,13,1148,417,66,32,486
29-05-2015,2558,565,4.2,8,789.0,208,0,0,8900,464,35,26,503
30-05-2015,417,21479,15.98,16,503.0,230,55,153,2794,328,53,25,382
31-05-2015,3533,18995,14.11,12,660.0,269,86,43,2092,426,54,33,495
01-06-2015,3354,16836,12.51,8,586.0,248,35,70,1862,430,41,26,484
02-06-2015,3369,15944,11.85,29,640.0,214,15,93,1827,376,46,34,436
03-06-2015,3168,14273,10.6,11,721.0,178,16,89,1592,312,44,29,369
04-06-2015,347,1606,11.93,11,724.0,239,38,70,1939,388,21,15,415
05-06-2015,3134,13594,10.1,16,677.0,215,36,52,1583,409,56,34,468
06-06-2015,3436,1548,11.5,11,520.0,246,78,42,1927,426,54,27,495
07-06-2015,3634,1944,14.48,8,966.0,210,28,130,2155,430,41,19,484
08-06-2015,3267,13926,10.35,21,701.0,265,63,29,1785,376,46,30,436
09-06-2015,3072,11338,8.42,28,806.0,228,43,31,1494,312,44,25,369
10-06-2015,275,714,5.31,12,785.0,220,20,4,1081,388,21,14,415
11-06-2015,3187,15449,11.48,22,676.0,205,39,64,1676,409,56,30,468
12-06-2015,3207,1192,8.86,11,593.0,352,34,11,1777,54,18,3,87
13-06-2015,4083,26444,19.65,22,549.0,429,56,56,2818,347,45,21,401
14-06-2015,2789,12335,9.16,35,1.245,88,10,93,1209,290,33,14,332
15-06-2015,3234,14137,10.5,11,642.0,305,8,51,1756,379,24,14,411
16-06-2015,2952,11568,8.66,13,734.0,189,17,54,1352,394,29,17,436
17-06-2015,3352,16813,12.52,52,709.0,202,2,110,1809,421,23,13,448
18-06-2015,3425,15217,11.31,61,641.0,280,44,59,1974,169,20,11,196
19-06-2015,309,13158,9.78,101,715.0,171,30,66,1511,0,0,0,0
20-06-2015,3699,19311,14.35,14,519.0,291,55,93,2348,412,17,9,436
21-06-2015,3385,16186,12.03,42,637.0,229,52,75,1921,379,49,30,438
22-06-2015,3088,12713,9.48,59,631.0,225,24,44,1533,373,47,23,427
23-06-2015,2823,9132,6.79,15,777.0,223,32,15,1236,360,51,26,416
24-06-2015,3678,20239,15.04,25,621.0,292,37,95,2292,358,42,22,401
25-06-2015,3003,11199,8.32,28,737.0,227,36,20,1419,415,48,29,468
26-06-2015,3534,20269,15.06,4,720.0,218,54,99,2078,464,39,24,503
27-06-2015,3022,11655,8.66,10,670.0,220,28,53,1491,388,54,28,444
28-06-2015,3237,12314,9.15,21,601.0,290,25,51,175,449,24,15,480
29-06-2015,3142,12586,9.35,19,735.0,234,35,49,1579,357,29,15,395
30-06-2015,2945,12445,9.25,11,635.0,200,18,58,1393,379,38,21,420
01-07-2015,3352,14193,10.55,19,669.0,210,47,70,1782,332,16,7,349
02-07-2015,3063,1156,8.62,30,708.0,158,25,67,1419,413,38,19,454
03-07-2015,3465,15695,11.66,22,648.0,248,63,54,1947,438,45,22,488
04-07-2015,2894,9747,7.24,8,646.0,253,22,19,1337,277,42,15,320
05-07-2015,3515,15731,11.69,17,567.0,317,52,55,2111,291,22,17,317
06-07-2015,2699,8391,6.23,11,877.0,136,36,30,1082,370,26,14,444
07-07-2015,274,8326,6.19,11,1.118,217,10,3,1106,455,21,13,482
08-07-2015,3244,14241,10.58,14,700.0,234,22,59,1662,311,19,11,333
09-07-2015,2994,7298,5.42,6,836.0,290,10,1,1322,550,44,19,594
10-07-2015,3134,10644,7.91,15,683.0,283,36,17,1606,368,57,27,431
11-07-2015,3191,12371,9.19,11,639.0,194,46,60,1589,250,19,13,282
12-07-2015,281,758,5.63,10,607.0,258,16,0,1201,76,10,7,92
13-07-2015,3259,12168,9.04,18,731.0,212,52,60,1725,360,39,18,425
14-07-2015,3383,15135,11.28,20,740.0,167,47,87,1813,248,12,7,261
15-07-2015,3569,14996,11.14,32,573.0,321,50,54,2155,410,52,27,463
16-07-2015,3017,8704,6.47,14,697.0,225,31,29,1392,465,31,16,501
17-07-2015,3228,12739,9.47,16,761.0,247,47,47,1733,406,22,17,435
18-07-2015,3352,13247,9.84,20,484.0,317,31,47,191,347,29,15,385
19-07-2015,3237,1166,8.66,10,680.0,286,5,53,1703,362,24,14,393
20-07-2015,3278,13702,10.18,21,708.0,246,48,43,1775,418,20,11,438
21-07-2015,304,1124,8.35,17,732.0,208,52,24,1438,411,31,11,451
22-07-2015,3071,13262,9.85,20,1.093,166,33,70,1495,304,28,16,338
23-07-2015,2984,909,6.75,17,719.0,234,23,23,1349,343,50,24,398
24-07-2015,3468,15779,11.72,23,618.0,346,48,21,2073,368,18,10,391
25-07-2015,2706,6174,4.59,3,677.0,231,13,4,1046,380,34,24,420
26-07-2015,309,11614,8.63,9,503.0,301,2,40,1573,322,41,13,363
27-07-2015,3091,1346,10.0,13,822.0,190,29,64,1527,0,0,0,0
28-07-2015,298,10,7.43,13,803.0,230,44,11,137,472,29,16,519
29-07-2015,3138,1068,7.94,16,634.0,322,21,4,1628,292,23,16,343
30-07-2015,3246,14105,10.48,20,718.0,225,60,44,1727,304,47,21,357
31-07-2015,2654,9194,6.83,20,784.0,198,7,0,9140,419,51,25,480
