Gas production,Gas consumption,Gas imports,Gas exports,Gas reserves,Coal production,Coal consumption,Coal imports,Coal exports,Coal reserves,Oil production,Oil consumption,Oil imports,Oil exports,Oil reserves,Coal consumption that is imported,Gas consumption that is imported,Oil consumption that is imported,Coal production that is exported,Gas production that is exported,Oil production that is exported,Gas production per capita,Gas consumption per capita,Gas imports per capita,Gas exports per capita,Gas reserves per capita,Coal production per capita,Coal consumption per capita,Coal imports per capita,Coal exports per capita,Coal reserves per capita,Oil production per capita,Oil consumption per capita,Oil imports per capita,Oil exports per capita,Oil reserves per capita,Population,Gas net imports,Coal net imports,Oil net imports,Gas net imports per capita,Coal net imports per capita,Oil net imports per capita,Entity,Year
1699000000,56640000,,,62020000000,119000,119000,0,0,,0,406500,0,0,0,,,,,,,127.2,4.241,,,4643,0.00891,0.00891,0,0,,0,0.03043,0,0,0,13360000,,0,0,,0,0,Afghanistan,1980
2237000000,84960000,,,60010000000,125000,125000,0,0,,0,464600,0,0,0,,,,,,,169.9,6.45,,,4556,0.00949,0.00949,0,0,,0,0.03527,0,0,0,13170000,,0,0,,0,0,Afghanistan,1981
2294000000,141600000,,,64000000000,145000,145000,0,0,,0,452900,0,0,0,,,,,,,178.1,10.99,,,4968,0.01126,0.01126,0,0,,0,0.03516,0,0,0,12880000,,0,0,,0,0,Afghanistan,1982
2407000000,141600000,,,60010000000,145000,145000,0,0,,0,638800,0,0,0,,,,,,,192,11.29,,,4786,0.01157,0.01157,0,0,,0,0.05095,0,0,0,12540000,,0,0,,0,0,Afghanistan,1983
2407000000,141600000,,,60010000000,148000,148000,0,0,,0,638800,0,0,0,,,,,,,197.2,11.6,,,4917,0.01213,0.01213,0,0,,0,0.05234,0,0,0,12200000,,0,0,,0,0,Afghanistan,1984
2974000000,0,,,60010000000,151000,151000,0,0,,0,754900,0,0,0,,,,,,,249.1,0,,,5027,0.01265,0.01265,0,0,,0,0.06323,0,0,0,11940000,,0,0,,0,0,Afghanistan,1985
2974000000,0,,,67010000000,160000,160000,0,0,,0,789600,0,0,0,,,,,,,253.4,0,,,5709,0.01363,0.01363,0,0,,0,0.06728,0,0,0,11740000,,0,0,,0,0,Afghanistan,1986
2804000000,623000000,,,64000000000,167000,167000,0,0,,0,805300,0,0,0,,,,,,,241.6,53.69,,,5515,0.01439,0.01439,0,0,,0,0.0694,0,0,0,11600000,,0,0,,0,0,Afghanistan,1987
3002000000,1982000000,,,61000000000,138000,138000,0,0,,0,765700,0,0,0,,,,,,,258.4,170.6,,,5251,0.01188,0.01188,0,0,,0,0.06591,0,0,0,11620000,,0,0,,0,0,Afghanistan,1988
2945000000,1926000000,,,100000000000,127000,127000,0,0,,0,776600,0,0,0,,,,,,,248.2,162.3,,,8428,0.0107,0.0107,0,0,,0,0.06543,0,0,0,11870000,,0,0,,0,0,Afghanistan,1989
2945000000,1897000000,0,1025000000,100000000000,105000,105000,0,0,,0,788200,0,0,0,,,,,,,237.3,152.9,0,82.62,8059,0.008459,0.008459,0,0,,0,0.0635,0,0,0,12410000,-1025000000,0,0,-82.62,0,0,Afghanistan,1990
311500000,311500000,0,0,99970000000,94000,94000,0,0,,0,740700,0,0,0,,,,,,,23.42,23.42,0,0,7517,0.007068,0.007068,0,0,,0,0.05569,0,0,0,13300000,0,0,0,0,0,0,Afghanistan,1991
300000000,300000000,0,0,99970000000,8000,8000,0,0,,0,414400,0,0,0,,,,,,,20.71,20.71,0,0,6901,0.0005523,0.0005523,0,0,,0,0.02861,0,0,0,14490000,0,0,0,0,0,0,Afghanistan,1992
300000000,300000000,0,0,99120000000,7000,7000,0,0,,0,414400,0,0,0,,,,,,,18.97,18.97,0,0,6267,0.0004426,0.0004426,0,0,,0,0.0262,0,0,0,15820000,0,0,0,0,0,0,Afghanistan,1993
299900000,299900000,0,0,99120000000,6000,6000,0,0,,0,385400,0,0,0,,,,,,,17.56,17.56,0,0,5805,0.0003514,0.0003514,0,0,,0,0.02257,0,0,0,17080000,0,0,0,0,0,0,Afghanistan,1994
199900000,199900000,0,0,99120000000,5000,5000,0,0,,0,373800,0,0,0,,,,,,,11.04,11.04,0,0,5473,0.0002761,0.0002761,0,0,,0,0.02064,0,0,0,18110000,0,0,0,0,0,0,Afghanistan,1995
230000000,230000000,0,0,99120000000,3000,3000,0,0,,0,343800,0,165400,0,,,,,,,12.2,12.2,0,0,5257,0.0001591,0.0001591,0,0,,0,0.01824,0,0.008772,0,18850000,0,0,-165400,0,0,-0.008772,Afghanistan,1996
230000000,230000000,0,0,99120000000,2000,2000,0,0,,0,325200,0,174.2,0,,,,,,,11.88,11.88,0,0,5121,0.0001033,0.0001033,0,0,,0,0.0168,0,0.000009,0,19360000,0,0,-174.2,0,0,-0.000009,Afghanistan,1997
230000000,230000000,0,0,99970000000,2000,2000,0,0,,0,313600,0,99530,0,,,,,,,11.65,11.65,0,0,5065,0.0001013,0.0001013,0,0,,0,0.01589,0,0.005043,0,19740000,0,0,-99530,0,0,-0.005043,Afghanistan,1998
230000000,230000000,0,0,99970000000,1000,1000,0,0,,0,313600,0,49940,0,,,,,,,11.4,11.4,0,0,4956,0.00004958,0.00004958,0,0,,0,0.01555,0,0.002476,0,20170000,0,0,-49940,0,0,-0.002476,Afghanistan,1999
230000000,230000000,0,0,99970000000,1000,1000,0,0,,0,225400,0,348.4,0,,,,,,,11.07,11.07,0,0,4811,0.00004812,0.00004812,0,0,,0,0.01085,0,0.00001677,0,20780000,0,0,-348.4,0,0,-0.00001677,Afghanistan,2000
50010000,50010000,0,0,99970000000,26000,26000,0,0,,0,224200,0,4762,0,,,,,,,2.314,2.314,0,0,4627,0.001203,0.001203,0,0,,0,0.01038,0,0.0002204,0,21610000,0,0,-4762,0,0,-0.0002204,Afghanistan,2001
