channel_name,stream_language,hours_watched,peak_viewers,live_views,airtime_in_m,average_viewers,followers_gain
valorant,en,3461943,287228,11232360,3775,55025,101624
xqc,en,3332837,127540,6135656,3035,65889,10778
esl_csgo,en,3197969,105277,11007121,9250,20745,14507
pgl_dota2en2,en,2767866,95626,6768188,3875,42858,33921
kaicenat,en,2549603,84734,6180386,3140,48719,50041
auronplay,es,2298504,175401,9319628,1295,106495,41381
fps_shaka,ja,2053848,50070,3477135,5605,21987,4199
tarik,en,2022980,148878,6261591,1395,87011,24596
nix,ru,2004152,75043,4196455,2925,41112,12714
paulinholokobr,pt,1899032,110427,6537401,1680,67823,71851
pgl_dota2,en,1817692,98714,5087729,3555,30679,14323
loud_coringa,pt,1771857,199243,5903392,1740,61099,38528
adinross,en,1750980,77301,2611533,1975,53195,18172
trainwreckstv,en,1554303,40965,3304125,3920,23791,5056
gaules,pt,1398028,46891,2974964,9905,8470,2614
luquet4,pt,1360640,49437,3962262,3745,21800,36999
ibai,es,1334285,243248,6431615,1310,61113,25904
btssmash,en,1312306,69523,3129138,9815,8023,9707
betboom_ru,ru,1264105,49941,4300194,4065,18659,9803
stylishnoob4,ja,1239612,35700,2688239,4315,17238,5765
woowakgood,ko,1163307,79764,3604581,3370,20713,5799
elspreen,es,1115824,81037,4711467,1285,52101,52182
eliasn97,de,1096930,45147,1952563,2495,26380,6814
hasanabi,en,1089765,65549,2715460,2260,28933,7860
juansguarnizo,es,1058603,72490,4359217,2075,30611,46018
sypherpk,en,1056334,151092,1140546,2525,25102,112162
zackrawrr,en,991497,35260,2223882,4125,14423,15894
mizkif,en,986979,73743,3312827,1815,32628,8522
tsm_imperialhal,en,982737,39034,2909110,2970,19854,8250
sodapoppin,en,954803,40639,2285601,2280,25127,3251
casimito,pt,951113,103033,3066722,2155,26482,77078
illojuan,es,932804,70808,2824060,1560,35878,16626
valorant_br,pt,886420,153512,2289639,1570,33877,26717
gorgc,en,875206,28614,1930547,3520,14919,3027
rubius,es,838280,66124,3638566,1535,32767,26200
summit1g,en,807957,29227,1603623,4010,12090,779
jasper7se,ja,804532,24707,1896681,4005,12054,4315
lirik,en,799606,30433,2238449,2280,21043,1429
k3soju,en,748220,19399,1032056,3480,12901,3016
noway4u_sir,de,729520,24044,1168181,3395,12894,1785
valorant_jpn,ja,721785,54937,2106365,1645,26327,4593
handongsuk,ko,718981,25550,1388731,2830,15244,845
kato_junichi0817,ja,704314,59407,2469229,1680,25155,1708
otplol_,fr,688027,52749,1834840,9995,4131,1285
coreano,pt,674949,58030,1682966,4115,9842,9570
hanryang1125,ko,669407,26485,1340710,2525,15907,473
brucedropemoff,en,648284,54231,2052463,1115,34886,17256
nickmercs,en,613683,108069,2017367,845,43576,9966
rainbow6,en,609120,30175,1225823,2155,16960,7080
iitztimmy,en,597443,23775,1824964,4055,8841,18601
moistcr1tikal,en,594360,29515,1155439,2890,12340,14110
quin69,en,593414,16540,939023,3405,10458,494
k4sen,ja,578643,24832,1848187,3355,10349,4434
tenz,en,573006,46193,2448486,1440,23876,24778
ponce,fr,570758,34318,1776342,2740,12499,4240
csgo_mc,ru,559570,28753,2646376,2940,11421,1866
mch_agg,pt,555826,57141,1316400,9715,3434,4890
elmariana,es,541445,59493,1900649,850,38220,27171
boxbox,en,539007,17191,702047,3975,8137,2459
roshtein,en,519380,36454,651201,1335,23344,2041
jinnytty,en,519145,6792,1558815,8195,3802,1706
montanablack88,de,516314,44871,2161707,1130,27416,9794
nmplol,en,514092,44269,1549101,1485,20772,1941
grubby,en,496472,11250,1004906,9620,3097,10744
alanzoka,pt,496037,31645,1353915,1980,15032,11352
betboom_ru2,ru,483052,28365,1852445,3650,7942,8338
kamet0,fr,476549,20046,1299385,2205,12968,1943
c_a_k_e,ru,471650,43493,1404419,2130,13287,8980
moonmoon,en,470755,18181,702624,2230,12667,86
silvername,ru,468372,20305,1324226,2355,11934,1797
cellbit,pt,464873,19749,1313194,2625,10626,4812
domingo,fr,464392,117878,1156932,1175,23714,6301
etoiles,fr,455854,26715,1416055,2545,10748,4464
trymacs,de,453439,39229,1210123,2035,13370,4826
elotrix,de,453408,21457,1079672,2480,10970,13052
aminematue,fr,437999,60329,1602389,890,29529,12748
fextralife,en,434305,15519,2748607,3015,8643,-2216
mixwell,es,423977,51586,1321443,1030,24698,7549
odablock,en,421997,37271,534970,9995,2534,2234
symfuhny,en,418629,21060,1864556,3165,7937,8835
yourragegaming,en,410197,27084,1899460,1425,17272,7392
elxokas,es,407141,16631,1451091,2405,10158,1773
rebirthztv,th,401563,19296,1989474,2965,8127,2587
maximilian_dood,en,397984,32754,1367047,1830,13049,3445
tumblurr,it,397345,29651,927151,1760,13546,3129
cohhcarnage,en,388237,14655,763530,2685,8676,267
loltyler1,en,382115,24186,850262,1445,15867,1672
thebausffs,en,379838,21649,1031691,1520,14995,6754
nokduro,ko,379580,15525,957905,3550,6416,1009
wtcn,tr,374421,31435,1323012,1395,16105,3150
lck_korea,ko,372700,22304,3908721,2730,8192,391
lolworldchampionship,en,370601,4081,309172,9995,2226,3043
skipnho,pt,366666,10958,841350,3255,6760,4139
abugoku9999,de,363705,25486,208406,2955,7386,3343
gotaga,fr,360965,57208,563101,580,37342,5967
valorant_kr,ko,359309,32836,1489281,1605,13433,8268
buddha,en,358096,15966,803736,2230,9636,748
